dataset,split,class,media_type,extension,relative_path,note
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0000_2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0162_jpg.rf.a92af4a0f769cfd086f93d915acc80c9.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0253.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0269_jpg.rf.5550c8932d42687e2079e81cbdb23a46.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0270_jpg.rf.fb55524d412c8a8e21c9c3aebb86e791.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0281_2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0329.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0382_jpg.rf.d607898696409d745b24cd7cc7c75421.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0413.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0426.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0441.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0445_2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0489_jpg.rf.e3e7436cd79833040c6cff6114a1cd15.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0490_jpg.rf.136372f37e307f33c806bf3348e1b24c.jpg,
