,precision,recall,f1-score,support
Air,0.625,1.0,0.7692307692307693,10.0
Belajar,0.9090909090909091,1.0,0.9523809523809523,10.0
Cari,0.75,0.9,0.8181818181818182,10.0
Hari,1.0,0.9,0.9473684210526315,10.0
Ingat,0.6,0.9,0.72,10.0
Lagi,0.9090909090909091,1.0,0.9523809523809523,10.0
Maaf,0.9090909090909091,1.0,0.9523809523809523,10.0
Makan,1.0,0.8,0.8888888888888888,10.0
Motor,1.0,1.0,1.0,10.0
Saya,1.0,0.8,0.8888888888888888,10.0
Terima kasih,0.7692307692307693,1.0,0.8695652173913043,10.0
Tuli,1.0,0.9,0.9473684210526315,10.0
Apa,0.9,0.9,0.9,10.0
Siapa,0.75,0.9,0.8181818181818182,10.0
Kapan,1.0,0.9,0.9473684210526315,10.0
Di mana,1.0,1.0,1.0,10.0
Mengapa,1.0,0.9,0.9473684210526315,10.0
Bagaimana,0.9090909090909091,1.0,0.9523809523809523,10.0
Merah,0.6,0.3,0.4,10.0
Kuning,0.8333333333333334,1.0,0.9090909090909091,10.0
Hijau,1.0,1.0,1.0,10.0
Hitam,1.0,1.0,1.0,10.0
Dengar,1.0,1.0,1.0,10.0
Berangkat,1.0,0.2,0.3333333333333333,10.0
Datang,1.0,0.8,0.8888888888888888,10.0
Teman,1.0,0.7,0.8235294117647058,10.0
Keluarga,0.9090909090909091,1.0,0.9523809523809523,10.0
Rumah,1.0,1.0,1.0,10.0
Pagi,1.0,1.0,1.0,10.0
Siang,0.42857142857142855,0.3,0.35294117647058826,10.0
Sore,1.0,1.0,1.0,10.0
Malam,0.42857142857142855,0.6,0.5,10.0
accuracy,0.865625,0.865625,0.865625,0.865625
macro avg,0.882192547036297,0.865625,0.85725311145085,320.0
weighted avg,0.882192547036297,0.865625,0.85725311145085,320.0
