class_id,label,precision,recall,f1,support
0,A,1.0,1.0,1.0,6
1,B,1.0,1.0,1.0,6
2,C,0.8571428571428571,1.0,0.9230769230769231,6
3,D,1.0,1.0,1.0,6
4,E,1.0,1.0,1.0,6
5,F,1.0,1.0,1.0,6
6,G,0.0,0.0,0.0,6
7,H,0.5,1.0,0.6666666666666666,6
8,I,1.0,1.0,1.0,6
9,J,1.0,1.0,1.0,6
10,K,1.0,1.0,1.0,6
11,L,1.0,1.0,1.0,6
12,M,1.0,1.0,1.0,6
13,N,1.0,1.0,1.0,6
14,O,0.75,1.0,0.8571428571428571,6
15,P,0.75,1.0,0.8571428571428571,6
16,Q,0.6,1.0,0.75,6
17,R,1.0,0.8333333333333334,0.9090909090909091,6
18,S,1.0,1.0,1.0,6
19,T,1.0,1.0,1.0,6
20,U,1.0,1.0,1.0,6
21,V,0.6666666666666666,1.0,0.8,6
22,W,1.0,0.16666666666666666,0.2857142857142857,6
23,X,1.0,1.0,1.0,6
24,Y,0.0,0.0,0.0,6
25,Z,1.0,1.0,1.0,6
